rpf_key,code,name,rpt_file,group,sql_len,legacy_tables
413,TFRM1040102,ใบส่งคืนสินค้า Text Mode พร้อมรหัสสินค้า,TDOC10402.txt,TFRM,0,
414,SQL10001003_01,รายงานสรุปใบส่งคืนสินค้า ตามสินค้า,IC100008.rpt,SQL,2637,DOCINFO
415,SQL10001003_02,รายงานสรุปใบส่งคืนสินค้า ตามผู้จำหน่าย,IC100027.rpt,SQL,2612,DOCINFO
422,SQL10001003_03,รายงานสรุปใบส่งคืนสินค้า ตามโครงการ,IC100034.rpt,SQL,2656,DOCINFO
423,SQL127010002,ใบส่งคืนสินค้าเงินสด - พร้อมรหัสสินค้า,DOC12701.RPT,SQL,4283,BANKACCOUNT DOCINFO
424,FRM1040104,ใบส่งคืนสินค้า แบบเส้นและตาราง พร้อมรหัสสินค้า,DOC10404.RPT,FRM,0,
425,FRM1040102,ใบส่งคืนสินค้า พร้อมรหัสสินค้า,DOC10402.RPT,FRM,0,
426,SQL127010004,ใบส่งคืนสินค้าเงินสด - พร้อมรหัสสินค้า แบบเส้นตาราง,DOC12704.RPT,SQL,4283,BANKACCOUNT DOCINFO
427,FRM1040105,ใบส่งคืนสินค้า (Letter),DOC10405.RPT,FRM,0,
428,SQL127010005,ใบส่งคืนสินค้าเงินสด (Letter),DOC12705.RPT,SQL,4283,BANKACCOUNT DOCINFO
429,TFRM1150201,ใบตรวจนับสินค้า Text Mode,TDOC11501.txt,TFRM,0,
430,SQL15001003,รายงานบันทึกผลการตรวจนับสินค้า ตามตำแหน่งเก็บ,IC150003.rpt,SQL,1149,DOCINFO
431,SQL15001004,รายงานบันทึกผลการตรวจนับสินค้า ตามคลัง,IC150004.rpt,SQL,1149,DOCINFO
432,SQL15001005,รายงานบันทึกผลการตรวจนับสินค้า ตามประเภท,IC150005.rpt,SQL,1456,DOCINFO
433,SQL15001006,รายงานบันทึกผลการตรวจนับสินค้า ตามหมวด,IC150006.rpt,SQL,1414,DOCINFO
434,SQL15001007,รายงานบันทึกผลการตรวจนับสินค้า ตามยี่ห้อ,IC150007.rpt,SQL,1415,DOCINFO
435,SQL15001002,รายงานบันทึกผลการตรวจนับสินค้า ตามเอกสาร,IC150002.rpt,SQL,1108,DOCINFO
439,FRM1150101,ใบตรวจนับสินค้า พร้อมรหัสสินค้า,DOC11501.rpt,FRM,0,
440,FRM1150102,ใบตรวจนับสินค้า แบบเส้นตาราง พร้อมรหัสสินค้า,DOC11502.rpt,FRM,0,
